iteration,file_size_mb,copyup_ms
1,100,392.71
2,100,667.91
3,100,837.50
4,100,292.50
5,100,573.91
6,100,535.67
7,100,1113.81
8,100,1025.70
9,100,1577.62
10,100,0
11,100,978.81
12,100,939.64
13,100,133.58
14,100,0
15,100,248.87
16,100,0
17,100,1696.77
18,100,15.39
19,100,0
20,100,1195.77
21,100,0
22,100,416.54
23,100,296.94
24,100,855.44
25,100,0
26,100,1037.11
27,100,0
28,100,1911.78
29,100,441.81
30,100,0
31,100,594.78
32,100,86.24
33,100,373.29
34,100,227.61
35,100,0
36,100,1197.63
37,100,127.29
38,100,2997.94
39,100,175.38
40,100,868.21
41,100,1091.52
42,100,0
43,100,321.83
44,100,1359.96
45,100,1559.09
46,100,1473.05
47,100,0
48,100,0
49,100,716.88
50,100,1554.27
