iteration,target_pct,measured_pct,variance_pct
1,50.00,107.82,57.82
2,50.00,62.62,12.62
3,50.00,52.88,2.88
4,50.00,34.66,-15.34
5,50.00,52.84,2.84
6,50.00,97.34,47.34
7,50.00,38.44,-11.56
8,50.00,108.15,58.15
9,50.00,49.94,-.06
10,50.00,134.53,84.53
11,50.00,52.92,2.92
12,50.00,247.77,197.77
13,50.00,39.64,-10.36
14,50.00,45.54,-4.46
15,50.00,34.04,-15.96
16,50.00,63.77,13.77
17,50.00,75.41,25.41
18,50.00,32.83,-17.17
19,50.00,102.95,52.95
20,50.00,72.58,22.58
21,50.00,54.58,4.58
22,50.00,55.26,5.26
23,50.00,55.59,5.59
24,50.00,66.62,16.62
25,50.00,33.34,-16.66
26,50.00,68.32,18.32
27,50.00,86.53,36.53
28,50.00,46.35,-3.65
29,50.00,74.42,24.42
30,50.00,73.95,23.95
31,50.00,62.54,12.54
32,50.00,56.93,6.93
33,50.00,89.21,39.21
34,50.00,59.13,9.13
35,50.00,59.88,9.88
36,50.00,129.33,79.33
37,50.00,57.88,7.88
38,50.00,63.31,13.31
39,50.00,56.58,6.58
40,50.00,56.84,6.84
41,50.00,41.80,-8.20
42,50.00,73.20,23.20
43,50.00,68.45,18.45
44,50.00,43.40,-6.60
45,50.00,86.35,36.35
46,50.00,94.33,44.33
47,50.00,69.66,19.66
48,50.00,104.88,54.88
49,50.00,52.15,2.15
50,50.00,134.14,84.14
